job title,company,location,date,job type and skills,link to apply
Data Analyst,Mantrac,"10th of Ramadan City, Cairo, Egypt ",1 hour ago,Full timeEntry Level · 0 - 3 Yrs of Exp · Data Analysis · Analysis · Analyst · Data · Microsoft Excel · Tableau · Power Pivot · Microsoft Power BI · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/1nBrvVn4e483-Data-Analyst-Mantrac-Cairo-Egypt?o=13&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Analyst,LinkMisr,"10th of Ramadan City, Cairo, Egypt ",4 days ago,Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · Data Analyst · SQL · Computer Science · Information Technology (IT) · Microsoft Excel · Analysis · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/K0uahuD5IqaH-Data-Analyst-LinkMisr-Cairo-Egypt?o=14&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Data Engineer (DBT/Looker/BigQuery),360Imaging,"Dokki, Giza, Egypt ",19 hours ago,Full timeWork from homeExperienced · 5+ Yrs of Exp · Analysis · DBT · ML · Looker · Tableau · Python · SQL · Computer Engineering · Computer Science · Data Engineer,https://wuzzuf.net/jobs/p/FconPoRZlrf6-Data-Engineer-DBTLookerBigQuery-360Imaging-Giza-Egypt?o=15&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Accountant,WEmng,"Giza, Egypt ",22 days ago,Full timeExperienced · 4 - 6 Yrs of Exp · Accounting · Finance · English · Financial Analysis · Financial Management · Microsoft Office · Accounting/Finance,https://wuzzuf.net/jobs/p/jkGEoeRXFnRi-Accountant-WEmng-Giza-Egypt?o=226&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Sales Engineering Manager,Masry for Engineering & trading,"Nasr City, Cairo, Egypt ",17 days ago,Full timeManager · 7 - 10 Yrs of Exp · Communication skills · Engineering · English · Management · Mechanical Engineering · Firefighting · Pumps · HVAC Systems · Sales Target · Team Leadership,https://wuzzuf.net/jobs/p/vialBK9KwXEY-Sales-Engineering-Manager-Masry-for-Engineering-trading-Cairo-Egypt?o=227&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Law Accountant,White Gold Logistics,"Sheraton, Cairo, Egypt ",25 days ago,Full timeManager · 5 - 15 Yrs of Exp · Tax Law · Account Management · Accounting Reports · Cost Accounting · Accounting · Accounting Software · Audit · Finance · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/TY8BAfkMvWxo-Law-Accountant-White-Gold-Logistics-Cairo-Egypt?o=228&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
ERP Application Consultant,Rednet It Services,"Cairo, Egypt ",29 days ago,Full timeExperienced · 3 - 7 Yrs of Exp · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · C#.Net · Software Development · Software Engineering · SQL · Computer Science · Implementation,https://wuzzuf.net/jobs/p/J4tq2Njno90d-ERP-Application-Consultant-Rednet-It-Services-Cairo-Egypt?o=229&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Chief Accountant,Bingo Global,"New Nozha, Cairo, Egypt ",29 days ago,Full timeManager · 4 - 7 Yrs of Exp · Accounting Manager · Accounting principles · Accounting · Bookkeeping · Financial Management · Financial Analysis · MS Office · Accounting/Finance,https://wuzzuf.net/jobs/p/Ypl0KKEAXhbd-Chief-Accountant-Bingo-Global-Cairo-Egypt?o=230&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Quality Control Manager - Call Center,Confidential -,"Maadi, Cairo, Egypt ",1 month ago,Full timeManager · 5 - 7 Yrs of Exp · Quality · Quality Control · Communication · Leadership · Analysis · Data Analysis · Quality Assurance · QC · Customer Service/Support · Quality,https://wuzzuf.net/jobs/p/IymfW2vQ1brB-Quality-Control-Manager---Call-Center-Cairo-Egypt?o=231&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
Information And Technology Business Analyst - Giza,Express Forces,"Mohandessin, Giza, Egypt ",1 month ago,Full timeWork from homeManager · 10+ Yrs of Exp · Software Development · Information Technology (IT) · Computer Science · Business Analysis · Analysis · IT · Computer Engineering · Communication skills · business · Management,https://wuzzuf.net/jobs/p/RqxQuLUTLjDB-Information-And-Technology-Business-Analyst---Giza-Express-Forces-Giza-Egypt?o=232&l=sp&t=sj&a=data analysis|search-v3|hpb|spbg
